Text,Class
'okay so we have fbi cia nro ncs dhs doj pentagon darpa illuminati nwo freemasons etc and no one has answers on boston hmm',Neg
'ok im givin up he will never follow or notice me ive tried years',Neg
'ok so gary can come home now miss him',Neg
'ok now im gunna cry rip hair straightner thanks for allowing me to do half my hair not',Neg
'oh no im out of wheyprotein and oatmeal not good at all blah aestheticproblems bodybuilderproblems ohno',Neg
'okay so i texted the number i gave the boy dylan and they said that he never texted so so much for that one founddylan negemoti',Neg
'okay really we have a game in the arcade that has a nice machine gun sound and scares me everytime',Neg
'ok all of my followers all of you write a dare in reply please o o',Neg
'okay so i am skinny i have a thigh gap and stuff does everyone hate me now negemoti i see everyone writing i hate skinny girls and stuff negemoti',Neg
'okay i cant handle that anymore off twitter now',Neg
'okay now im upset after everything theres a possibility ive messed everything up broken heart',Neg
'okay i go in my beast mode hold up meek didnt you say that in ace hoods song its goin down',Neg
'oh no i hate this episode of how i met your mother himym',Neg
'oh no getting addicted to candy crush procrastination savemefromrevising sofun',Neg
'oh no feels are coming back face',Neg
'oh ffs fml fml negemoti woke up cold shaking and the saddest part of armageddon bitch',Neg
'dear oomf we used to talk for hours look at us now',Neg
'oh fuck another blast in us texasblasts reports say people dead already',Neg
'is such a great girlfriend i watch her leave through my window daily with no idea where she is going and no invitation',Neg
'oh hating life i am moaning typical',Neg
'ohh god someone help me the mother and auntie are drinking downstairs and in control of facebook and they are messaging me now whyme',Neg
'ohbutyoucan feelinglost istilloveyou regardlessofeverything wompwompwomp eyes hurt',Neg
'oh but im scared to death',Neg
'off to oncology wish i didnt have to keep watching this',Neg
'oh but im scared to death that there may not be another one like this lss maroon5',Neg
'off to school negemoti and not coming in so im all by myself for the day negemoti',Neg
'of mice and men has to be the saddest movie ive ever seen heartbroken awh',Neg
'off to school i go',Neg
'not my fault youre a dumb bitch who would actually date a guy who still loves with his ex that he cut cheated on and smacked around',Neg
'ohh now tell me now tell me now tell me now you know stayrihanna insomnie',Neg
'shame on you and all nra bootlickers nosecondterm',Neg
'oh my word what happened in texas usa is horrible',Neg
'oh my me what thinking',Neg
'oh no another blast',Neg
'oh no tweets',Neg
'oh how i miss my dad papa imissyou',Neg
'oh i see you go for the girls who are full of them selves',Neg
'oh my god as if didnt record tonight',Neg
'oh its okay just stand all over my work why dont you cat re book highschool homework i',Neg
'oh lord please be with everyone who has been in an explosion this week prayfortexas prayforboston',Neg
'i dont need this in my life pissed fuckeveryone i love you yacky',Neg
'ok we are desperate cutch and ajburnett bronzes go out if we pass desperate hopeful pirates',Neg
'not mine tho another damage tweeter biggs see wat the misuse of english language can cause',Neg
'not looking forward to this funeral showingmyrespect',Neg
'noo more worms everwhere',Neg
'no one can ever be like me i have swag id give you some but walmart just ran out ahha that is stupid tweet',Neg
'no one could make me feel better with this head ache right now',Neg
'corpses was good i havent seen devils rejects yet',Neg
'none of us can pray enough right now west prayfortexas waco bostonstrong tragedy inshock',Neg
'no nas is the news movement festival has been cancelled',Neg
'no naruto manga this week',Neg
'no more lonely',Neg
'no one ever wants to come to my house because its an extra two minutes to get here compared to other peoples',Neg
'no more sad',Neg
'no moving wae ma mum anymair fucking great tonight cant get any worse fedup',Neg
'no more and you need spotify premium for twitter music',Neg
'no one follows me no one cares what i tweet depressing outcast loser',Neg
'no one has a crush on me negemoti',Neg
'no one is capeable of moving my car for its mot moments',Neg
'noo my blackberry has the white screen of death negemoti',Neg
'noo jeter out till the break mourning',Neg
'noo peter broken heart bigbrothercanada teampeter',Neg
noo,Neg
'no more hurting people peace marathonmemorial bostonmarathon',Neg
'noo its ripping i carry too many books in there favbag',Neg
'noo forgot my headphones at home negemoti now i cant listen to music on my laptop or watch youtube vids negemoti ew sucks',Neg
'no one likes me today',Neg
'noo i didnt know that the will be in college park on may',Neg
'no one prepares you for death i cant believe she died today negemoti rip cantbelieveit soyoung iloveyou',Neg
'no one wants to be friends with me the most summer in my entire life',Neg
'no one texts me anymore',Neg
'no please dont let the bacon die bacon die endoftheworld bad no',Neg
'no more home',Neg
'no more facebook',Neg
'no good morning text to look forward to in the morning',Neg
'nogo tragic really some girl talk noise everybody thought she had on pumas tuseday bout it was babyphat',Neg
noh,Neg
'no good day bro just ugh',Neg
'no golf negemoti',Neg
'nofilter atthedentist dentist wisdomteeth no numb ugh fat face cold sandals jeans',Neg
'ive spent months waiting for uncomp hdmi but after nab i decided to jump ship to blackmagic too late in my opinion',Neg
'no dance because of the snow thisstinks',Neg
'no im not okay need best friend',Neg
'no dinner again oops workaholic this would never happen in brazil my family made sure id eaten and was looked after holidayblues',Neg
'me too',Neg
'no dinner again',Neg
'no jury duty for me pickme',Neg
'no concert to me on saturday',Neg
'no just no missing them already',Neg
'no meet today now what am i supposed to do all day',Neg
'no matter what in the end we love each other precioustweet emotional',Neg
nomentions,Neg
'no money no car to friends negemoti',Neg
'there will never ever be as much drama ilovedrama',Neg
'no more field work next year with the schools fuckers lost their grant as case',Neg
'no matter how strong we hold are ourselves thru out the day sadness grief creeps in within hrs always cantsleep heartbroken',Neg
'this is not right where is humanity for innocent animals',Neg
'no matter how much i try to be happy today the mood isnt really there down',Neg
'nolies justlove pinquotes inspiration art quote written girl animal hurt',Neg
'the temper tantrum line only reveals your seething obama derangement syndrome normal voters wont see his speech that way',Neg
'no longer will i walk these aisles as store manager of taf eastland twohourstogo anewbeginning',Neg
'normal not cool faces',Neg
'norma is negemoti aww',Neg
'north korean prison camps now being inundated with smart ass reviews on google maps via funny',Neg
'not having the greatest day',Neg
'nothing better than crying negemoti now i have a headache crying',Neg
'nothing better than listening asot607 arminvanbuuren love inspiration night happy dont',Neg
'not gonna practice today',Neg
'not gonna lie im feeling some type of way right now mad irritated and my attitude is on fulleffect right now',Neg
'not gonna lie im feeling some type of way mad irritated my attitude is on fulleffect right now',Neg
'not feelin it today for some reason maybe because the other half of me is in thailand',Neg
'nothing but threats today',Neg
'not getting to see him hardly at all this week',Neg
'not going to my babies concert negemoti sad life is boring was gonna be my second time but noo negemoti teaminspire e3chicago',Neg
'not getting to spend the night with tomorrow',Neg
'nothing last forever thisislife',Neg
'nothing lasts forever its over it all comes to a end eventually',Neg
'nothing like the feeling that you lost your best friend',Neg
'not liking this pale look wheres my tan white needtan brown happy',Neg
'not in the best mood',Neg
'not liking this show about dublin zoo the poor giraffe died negemoti',Neg
'not looking forward to saying my farewells on my last day at work tomorrow',Neg
'not looking forward to monday at all familytogether',Neg
'not feeling like myself mine overflowing with thoughts have a nice night negemoti',Neg
'not intersted',Neg
'notice ur favorite artists post about supporting them and checking things out but they cant even acknowledge u once that shit',Neg
'nothing like waking up at to start throwing up every where collegeproblems stomach',Neg
'not in my happiest mood negemoti',Neg
'nothing like watching an episode of top gear and becoming depressed because you want every car they have on the show',Neg
'nothing worse than missing steak dinner because you have to work',Neg
'not feeling good at all negemoti',Neg
'not feeling good and worse back pains helpme pain',Neg
'no text',Neg
'not a fan of wine chardonnay redwine dining dinner',Neg
'debbie i didnt mean hurt u but ok s4s sexy hot hipster tumblr cute gorgeous flawless amazing',Neg
'not a good start to the day a twisted ankle from an early morning jog old posemoti',Neg
'not afraid to admit that today im emotionally unstable crying',Neg
'not allowed to come in for games next week gamesisfun softball',Neg
'no straightners at my house mophead',Neg
'no spicy things and junk food for lord help me conquer this suckstobemexican whywhywhy howwillisurvive icandothis',Neg
'miss the kids missthereserve',Neg
'nostalgia fuck',Neg
'no school for me today i feel like crap dontfeelgood',Neg
'no seas pendeja what my twin diana said to me o',Neg
'no school for me today wish it wasnt because i had a funeral to go to r i p illmissyou',Neg
'not making it up to thurso until i leave college scary timeflies loveperth dontwanttogoback',Neg
'not allowed to run sick',Neg
'not being able to afford the gym cause you have to pay insurance is hateful especially when you hate the car and saving for a new one',Neg
'not even dark out and im ready to pass out exhausted night',Neg
'note to self dont listen to the news first thing in the morning debbiedowner its a sick world we live in indeed',Neg
'not even dogs like him',Neg
'not even tissue u cah trust nowadays',Neg
'not even ten after and three people have already bought booze',Neg
'not a very good day quiet',Neg
'notes happy yellow followme and thats all',Neg
'not being able to see people for a couple days cause they died',Neg
'note pourrie en maths compos',Neg
'not celebrating cosa whydidwehavetograduate',Neg
'not coming back to dobson next year',Neg
'not chill at all wheresmydog comehomeholly',Neg
'no in the champions trophey',Neg
'honey badger is in hibernation mode',Neg
'guess whos still pipingg on hahaha',Neg
'fukk wont be able to tune in to todays asot',Neg
'so if i hadnt poked yu wouldnt have bothered to say hi hmm negemoti',Neg
'you left out jeff foster',Neg
'oya have me now wink cant even remember the last time i had butterflies in my tummy over a guy',Neg
life,Neg
'that was just so shocking to hear that childs fear and panic was terrible i hope they are all ok waco',Neg
'over thinking things',Neg
'overheard in studyhall if all else fails i be a stripper teen',Neg
'packers get a week bye week that would be my birthday horrible nfl',Neg
overit,Neg
'over thinking is bad',Neg
'is no more whaat',Neg
'packing even though still unsure if this will even happen getbetter',Neg
'packing upset dontwannago gonnamissit',Neg
'drake hogestyn is an extraordinary actor but so underrated and unappreciated days',Neg
'sol jk',Neg
panda,Neg
'i doubt it now that this texas explosion news is breaking',Neg
'i ordered an asian sesame chicken salad and i got this i dont even know what it is',Neg
'painting the rock at this school is fun until someone literally paints over it an hour later',Neg
'pain pain go away dont come again another day appendix ouch',Neg
'packing up half my room',Neg
'painting on a stormy night chill fun crafty torn memories',Neg
'packing up my room memories',Neg
'the fact that nicks out of work but i cant even talk to him because he doesnt have a phone',Neg
'i wish the sru coach would just call me so i could look with you',Neg
'yeah why you no reply emo disappointed okay saturday you can make it',Neg
'out walking alone thinking cold',Neg
'outside for minutes and sunburnt',Neg
'ot4 at indonesia while gd is alone',Neg
'ouhh debbie you evil scheming bitch emmerdale',Neg
'our beagle only loves me when i have food and or no one else is around leastfavorite',Neg
'or people that seek attention from other people when they feel as if they arent getting enough from there partner',Neg
'or not',Neg
'orlandrawpirates supporters are now supporting platinum stars its a situation',Neg
'or hes too inlove to be just friends he stops calling once he thinks nothing can happen btw u wat happnd to frndshp',Neg
'our country is getting too good at dealing with tragedy',Neg
'stay safe never know what the day brings news this morning',Neg
'organising my russian history folder has made me feel much better organised',Neg
'or beezyb lol dont nobody fuck with me bunnyb nomore',Neg
'our country is really having a bad wk keep both boston tx in your prayers hearts while they try to overcome the explosions',Neg
'our hearts go out to the family and friends of everyone in boston and texas bostonstrong texas',Neg
'our house cant wait to be able to actually walk in there',Neg
'out again posemoti everythingwillbefine',Neg
'our thoughts are with the victims in texas texas tragic',Neg
'got to believe they will be more confirmed',Neg
'outraged by our nations inability to form gun control legislation guns',Neg
'out muna negemoti',Neg
'outside rain wind depressing that it was like summer on monday english weather',Neg
'our sub plays better than that',Neg
'our society went from winnie the pooh to honey boo boo',Neg
'our house feels so empty and quiet without you come home brother nomoresleepovers family',Neg
'our song played at work and i started crying im a mess lol misshim',Neg
'our last lunch together tomorrow we need a group pic',Neg
'our prayers go out to the individuals and families affected by the boston bombing',Neg
'lol these things are swollen its no hope for them',Neg
'ugh you havent said hi in forever my dads in the hospital and id like some paris support nothot negemoti',Neg
'parks and rec is on tonight yes missingit',Neg
'people lie white lies black lies red lies whatever it should just be expected these days no one can go their life w o it but true',Neg
'people need to grow up instead of spreading pathetic rumours itll just come back at you karma getalife childish',Neg
'people need to just hold off on fighting until im around so i can cheer em on not miss all the action neverseenafight',Neg
'people leaving this world left and right',Neg
'people keep saying that when these tragedies happen no one would have ever thought it could happen to them thats all i think about',Neg
'people in the gym with arms bigger then their legs smh wat a pussy and i still bench more then u lol do some squats and calfs',Neg
'people dont realise what they had until its gone truestory fact',Neg
'people need to think about their own actions before they start running their mouths off about others pathetic lookatyourself',Neg
'people gona turn up to their choice college next year to be told btec is not equivalent to a levels notfair losing',Neg
'people have no morals and values these days alot is wrong about ur ass',Neg
'people hate me fuckyou unhappy',Neg
'people never seem to amaze me selfish alittleletdown okalot',Neg
'people no i do not know how to get people listen to good music',Neg
'people only call when they need something',Neg
'people using social network and dont know how to use it',Neg
'people that sneak diss',Neg
'people wait all week for friday',Neg
'people wanna be everything except there selves ashame',Neg
'people wanna be everything else except them selves ashame',Neg
'people dont listen to real music anymore',Neg
'people that always do great things who make one poor decision are always remembered for that one poor decision not all the good ones',Neg
'people please dont unfollow me',Neg
'people that dedicate their life to stalking justin bieber one direction and any rinsed celebrity have fun spending your life single',Neg
'people shouldnt give us wings to fly',Neg
'people stop unfollow kay negemoti',Neg
'people starving for fame',Neg
'people dont like sharing their favorite porn at t3summit',Neg
'people dont even know whats going on',Neg
'people dont believe me that ive never smoked weed',Neg
patt,Neg
'pat summerall was the voice of the nfl for me rest in peace good sir',Neg
'the worst is all the fake accounts pretending to be celebrities why are they that desperate for attention',Neg
'no comments',Neg
'pat toomey just wrecked his own career for nothing marco rubio next on the self destruct list',Neg
'still going on about tariffs and how to save money on energy',Neg
'not allowed to joke about this rip to the baby lamb that died at the youwakim household today',Neg
'ah ok balrothery is lovely this was my last walk with jack cos he goes home in the morning',Neg
'part of me want you and part of me dont part of me miss you and part me dont',Neg
'oh damn im not important life',Neg
'pary for boston',Neg
pathetic,Neg
'amiss you too dear my two other daughter is missing u',Neg
'opportunities creates competition thus it bails down to intellect not your love beauty jabet zoomout and look at the big picture',Neg
'why does it attract twats is it because they are attention seekers',Neg
'wow you little piece of shit',Neg
'people be full of so much shit they dnt even know it',Neg
'people at my school go out with anybody just so they can hold hands kiss in the hallways',Neg
'people can be so disappointing sometimes letdown',Neg
'people do dha most for attention why make it ndd hve ppl believing it killn did poor child off',Neg
'people clearly know nun about wat the word communication means now days',Neg
'not cool when its not yours',Neg
'people are dealing with violence and devastation everywhere its very prayfortheworld',Neg
'lets search a sun dance online the only safe place from the snow',Neg
'people are quick to judge but never got a chance to kno the person',Neg
'days and i will be there ner ner that cd hasnt come out my cd player ive actually had it on everyday',Neg
'people are being hateful tonight idol',Neg
'ofc i miss you alone but we havent made cookies in a long time negemoti howdareyouunfriendme',Neg
posemoti,Neg
'yeah man this week has been full of nothing for me',Neg
'ooh no i lost my ipod',Neg
'once upon a time i had many a pencils i once thought i had too many pencils how times change pencil wishihadapencil',Neg
'one couple livonliving two lives can it be sorted or not help advice',Neg
'one day is such a brill film',Neg
'theres will always be people who suck notarunningtude',Neg
'people also grabbed armfuls of the boston marathon jackets to sell on ebay',Neg
'once i cry i dont stop and that is it',Neg
'once again ballin my eyes out cos of hollyoaks life',Neg
'omg this is absolutely horrible my condolences go out to all affected texas waco waco fertilizer',Neg
'one day maybe',Neg
'omg tony off hollyoaks is so cute negemoti',Neg
'omnomnoming my fingers lol aegyo cute kawaii handsome dolleyes doll contactlens pout',Neg
'ommg last tournament for good this weekend its gotta be a win lets end the season well wegotthis tweet cantbeover',Neg
'i want take a pic with these figures but they r not here in berlin',Neg
'to say that thats the closest ill ever be to see them negemoti',Neg
'one down at atpmontecarlo',Neg
'one of my followes ex followers i should say lol is so beautiful and dont even know it',Neg
'one of my final cheesy thursdays at jmu graduation dhall',Neg
'one of my pals died months ago today',Neg
'one of the girls im babysitting says i dont like the way i am right now because she wants freckles like the girl in the movie',Neg
'one of the boston bombers looks like a normal white college kid',Neg
'omg this has me shook o o',Neg
'one of my favorite parts of this movie eponine lesmiserables lesmis crying',Neg
'one of my dogs just died crying gunnamisshim broken heart negemoti',Neg
'one flew over the cuckoos nest brilliant timeless funny',Neg
'one of my favorite pairs of jeans just ripped im pissed hopefully they can be sewed grr jeans ripped',Neg
'one kid quoted to his parent after the bomb at boston is it north korea',Neg
'one nigga can mess it up for every nigga',Neg
'one last twiggs date negemoti meow',Neg
'one of the hardest thing in life is watching someone you love love someone else',Neg
'omg there was dog heads found next door to scotts cry',Neg
'omg poor tony negemoti hollyoaks',Neg
'omg how good was first look hollyoaks crying hollyoaks goodbye jacquimcqueen amazingactress',Neg
'omg i dont think im ever going to be on good side',Neg
'omg im missing negemoti forgot celebrityjuice',Neg
'omg how can this girl say such a horrible thing does she think its a joke prayforboston boston',Neg
'omgg as if jaqui has left negemoti hollyoaks',Neg
'omg game over ur definatly cool posemoti lol weirdmomentofhope comingbacktoreality itswhatever',Neg
'omg bad ass accident that person defintely didnt survive',Neg
'lol at the fact that you actually believe that',Neg
'omg its only thursday tomorrow negemoti',Neg
'wait so no',Neg
'omg ayushman khurana dies in snowboard accident so much for the name ayushman meaning one with a long life',Neg
'oh no feel better',Neg
'omg just got out of school and got caught in the rain drenched london rain',Neg
'omg just read the news monday boston marathon bombing then thursday texas explosion waa whaats going on world dilikatug pray',Neg
'omg not another one texas',Neg
'omg noo lost',Neg
'omg now texas explosion nursinghome collapse primaryschool houses',Neg
'omg omg omg like a second advert came on the tv for broadchurch this is probably the first time ive ever got exited for a monday',Neg
'omg starkid is comin to london im not gonna be in the country noo starkid istotallyawsome',Neg
'omg my throat killin me negemoti sore sick noo',Neg
'omg my friend has cancer',Neg
'omg kids these days are soo spoiled youre in grade you have a phone who you gonna text your mom',Neg
'omg my little shadow will be sunday',Neg
'omg last thursday of the school year negemoti timeflies college blessed girls i think',Neg
'omg lyk last time i will ever do uil band senior neverlookback',Neg
'omg leo and his mom negemoti leo leovaldez heroesofolympus beautiful rickriordan demigod',Neg
'one of the hardest things in life is watching the person you love love someone else',Neg
'one of the hardest things to do is to not let situations that are out of your control affect you but they always do frustrating ugh',Neg
'one of them nights when you just cry your self to sleep upset',Neg
'only one person can make the change life',Neg
'only person not to get big weekend tickets negemoti',Neg
'only seen teojwok once today',Neg
'only in death i will find peace when you are',Neg
'only if you knew',Neg
'only have left of high school negemoti',Neg
'only halfway through exams negemoti tired',Neg
'only get to spend one more night with my favorite boy before he leaves for good dontleave hategoodbyes',Neg
'only two more days left of placement holy',Neg
'only gonna be on twitter on weekends fml uggh',Neg
'only half hour into the hobbit and im so excited',Neg
'only got days left in high school happy gonnamissit',Neg
'only two more shows and the boys have done the uk tour negemoti',Neg
'on my day off me and are hanging around felpham school for fuck sake weve already been asked to leave were years old',Neg
'on my way to helsinki and supervision studies leaving the little prince and princess home on the day they spend together',Neg
'oomf dress pretty on twitter but in school she be looking trashy and a junkie in school',Neg
'oomf can communicate with twitter all day but cant communicate with me smh ohwell',Neg
'oomf is a bigg ass follower does what ever just to fit in',Neg
'ooft twitter you really are giving my entire emotional spectrum a workout today rage joy rageagain aaw',Neg
'oomfs getting wrote up today smh oh well its not me posemoti',Neg
'only class today i find it so hard to go lazy',Neg
'on twitter i thnk i hve the least fillowers',Neg
'on my way too school',Neg
'on twitter lying tho lmao',Neg
'on my way to repay all my loans after years angry long block dover crescent',Neg
'on the last episode of the walking dead twdseasonfinale iwantmore',Neg
'only a month till graduation but ready for summer',Neg
'only more school days left of my whole life scary dontwannaleave',Neg
'only days left in america',Neg
'why are you not somewhere closer negemoti negemoti',Neg
'is playing here in holland atm and im not there torture',Neg
'one steps further three steps back fml',Neg
'one thing i cant stand people who you once knew so well becoming a stranger it sucks really really bad and i miss that stranger negemoti',Neg
'one tear a thousand thoughts loveislove ldr soon someday happieness',Neg
'one thing i hate about going away is leaving my african grey i know he gets looked after well but hes my baby so much more than a pet negemoti',Neg
'one of those silly days when people guess ipl team names while replacing silly words with movies in the backdrop of blasts',Neg
'one of those moments',Neg
'one of the things that helped me get up this early was to try my new coffee',Neg
'one of those nights when i just need to curl up in bed and cry worstday',Neg
'one of the worst things in the world is seeing your friends suffer and you cant help them',Neg
'one of those days',Neg
'one of those bittersweet days happy backroundagain',Neg
'oops emergency in beverly hills gotta fly back face',Neg
'one time i was and in scouts and i really fancied this boy but he was like and it was painful bc he looked like daniel craig',Neg
'onetreehill love show oth miss instadaily instamood naley instagood',Neg
'only days left leaving meal tonight waterproof mascara a must home family vlogger',Neg
'only days until graduation total like weekends and everything wahh excited bittersweet toomanyemotions',Neg
'only more days of going to play with my little year olds',Neg
'only more episodes in the final season of the office negemoti depressing theoffice',Neg
'only in a bible belt school with way over students buckhorn',Neg
'one tragedy after another boston and now west tx seems like its following me',Neg
'online war bullyville kate gosselin vs her detractors only served to embarrass her children further imo',Neg
'onholdagain library',Neg
'one week ago is my sweetheart love u now he ignoring me',Neg
'omg thats lonng almost an hour aahh lol',Neg
'on god everybody yo bestfriend amp cousin when you got money or dead',Neg
'one week until my birthday days until i move',Neg
'no chuchay for weeks aww',Neg
'no burritos until derek jeter is back sacrifice mlb',Neg
'no brooks noo shawshank',Neg
'my knees hurt so bad gettingold ouch',Neg
'my last car ride to ius with my bff break thankyababyjesus happy',Neg
'my last day at tatweer farewell amazingfriends love willmissthemall',Neg
'my job really makes you think about all these tragedies across the world two terrible ones in three days in the continental us alone',Neg
'my housemate for almost posemoti them so much happy fight sweet love uitm delima',Neg
'my hormones are going crazy today happy bipolar',Neg
'my heavens door soon ille be missing this room to continue my responsiblity as a daughter',Neg
'my heart goes out to all those family and friends that was in boston and that had family and friends over their in boston',Neg
'my last day of using this lovely gym',Neg
'my heart is breaking from all these horrible events lately',Neg
'my heart still aches for will',Neg
'my heart prayers and sympathy go out to those affected by the waco tx plant catastrophe pray wrongdoing liveslost bandtogether',Neg
'my last ever day with my babe mr robertson lovehim tidy',Neg
'my last ever graded piece of art art',Neg
'my last orientation session ever tomorrow',Neg
'my life in a nutshell somanycountdowns fuckexamsaresosoon',Neg
'my life has succumbed to big pants goodbyethongs hellovpl',Neg
'my life is basically falling apart wannagohome tiredofshit',Neg
'my life is def not cool enough for a vine',Neg
'my life is consisting of homework tonight life',Neg
'my heart broke when i saw and heard the mom of that child who died in the bomb blast we as a people need to find out who did this',Neg
'my life for weeks hopefullyonly2weeks runnerproblems hopeitgetsbetter ihaveracescomingup',Neg
'my legs are very stubborn when it comes to running im like alright lets go and my legs are like lol jk im gonna hurt super bad',Neg
'my last retweet was straight up my relationship notjoking rude ideservebetterthanthat',Neg
'my legs to warm i am extremely tired but my mind is racing no hope of sleep killme',Neg
'my last sunset here in the caribbean negemoti',Neg
'my last weekend in minnesota',Neg
'my life is literally falling apart in front of my face and i cant do anything about it but watch it fall terribleday',Neg
'my heart breaks for boston and now my beloved texas tired of bad news negemoti',Neg
'my heart and prayers go not only to boston but to texas also texas boston explosion',Neg
'i feel so bad for family cant imagine loss the loss alone and now this',Neg
'my freind gave me this on my b day and then left last month negemoti i miss her so so much and wissh she came back',Neg
'my friend lost',Neg
'my followers know more about me than my parents',Neg
'my flowers are dead except for the fake lily',Neg
'my fish jeffery who i have had and loved for a year and months died today hella',Neg
'my first truck before i completely destroyed it negemoti love',Neg
'my feelings when i watch saw ii dead hopeless and a voice in my head screaming eric and almosts tears negemoti',Neg
'my fun day with my beautiful thalia is over negemoti imissher',Neg
'my feet dont fully touch the floor',Neg
'my firstpost on vine chinatown chicago closed love hungry',Neg
'my feet hurt im hungry and tierd',Neg
'my gay coaster enthusiast roommate got another job and wont be at cp now negemoti',Neg
'my gf is such a lil wayne fan yet shes never heard the songs fireman pop boottles or duffle bag boy',Neg
'my gland is swollen so i cant really talk that much',Neg
'my hairs getting so long i just wanna curl it annoyed',Neg
'my head has a bad attitude today',Neg
'my heart and head hurts and im shaking badday inpain',Neg
'my heart place my mind anotha but my body hea',Neg
'my heart break a little when i hear ye name brunomars wheniwasyourman heartbroken',Neg
'my hair looks like hagrids girl selfie hagrid swag school bushy hair thick f4f',Neg
'my hair is frustrating me i have no idea what its doing betame beanieday frustrated',Neg
'my god why isnt dimsum available at night everynight',Neg
'my hair is gone kindashort',Neg
'my goodness with all thats happened as of late youd think people would be nicer i guess people are just innately rude',Neg
'my hair is all gone gonna take some getting used to hairless selfie woah haircut earslowered',Neg
'my grandma seen my daughter one time since she been born',Neg
'my lil guy gone and i have to sleep alone',Neg
'my lindsay is leaving me the room is basically empty',Neg
'my old best friend doesnt care that ive been bullied all my life and shes one of the bullies cry',Neg
'my one friend mary',Neg
'my iphone case broke and i never dropped it whattodo',Neg
'my old babies are getting worn out',Neg
'my nose hurts so much from sneezing hate it to be sick',Neg
'my night was a nightmare face',Neg
'my nicest taekwondo shirt is permanently stained with blood and has little hole negemoti',Neg
